country,sex,year,ASIRsmooth
Argentina,1,2003,2.360377105
Argentina,1,2004,1.9871672
Argentina,1,2005,1.650645233
Argentina,1,2006,1.305111649
Argentina,1,2007,1.095992099
Argentina,1,2008,1.592568086
Argentina,1,2009,1.789775837
Argentina,1,2010,1.368989957
Argentina,1,2011,1.110287843
Argentina,1,2012,1.153126692
Argentina,1,2013,0.999231343
Argentina,1,2014,1.09613457
Argentina,1,2015,1.414340768
Argentina,1,2016,1.721367876
Argentina,1,2017,2.144077401
Australia,1,1993,1.470200934
Australia,1,1994,1.713097498
Australia,1,1995,1.903840412
Australia,1,1996,2.050633677
Australia,1,1997,2.139315429
Australia,1,1998,2.199405797
Australia,1,1999,2.246248265
Australia,1,2000,2.31164293
Australia,1,2001,2.402411004
Australia,1,2002,2.558340675
Australia,1,2003,2.701630093
Australia,1,2004,2.84793023
Australia,1,2005,2.981358825
Australia,1,2006,3.147211429
Australia,1,2007,3.323241441
Australia,1,2008,3.529923047
Australia,1,2009,3.756142545
Australia,1,2010,3.984365807
Australia,1,2011,4.178363214
Australia,1,2012,4.447478413
Australia,1,2013,4.702569769
Australia,1,2014,4.85895883
Australia,1,2015,4.99945026
Australia,1,2016,5.109908364
Australia,1,2017,5.191913604
Austria,1,1998,2.430954722
Austria,1,1999,2.682960935
Austria,1,2000,2.910602699
Austria,1,2001,3.128976449
Austria,1,2002,3.214875593
Austria,1,2003,3.304678349
Austria,1,2004,3.612405177
Austria,1,2005,3.967698593
Austria,1,2006,4.373600748
Austria,1,2007,4.645469226
Austria,1,2008,4.64109243
Austria,1,2009,4.594634887
Austria,1,2010,4.519172194
Austria,1,2011,4.420522398
Austria,1,2012,4.442310087
Austria,1,2013,4.348458979
Austria,1,2014,4.17322589
Austria,1,2015,4.008428903
Austria,1,2016,3.829202028
Austria,1,2017,3.636215703
Bahrain,1,1998,1.374440451
Bahrain,1,1999,1.32395785
Bahrain,1,2000,1.25464887
Bahrain,1,2001,1.223112824
Bahrain,1,2002,1.3725225
Bahrain,1,2003,2.35820176
Bahrain,1,2004,3.380191326
Bahrain,1,2005,3.101723719
Bahrain,1,2006,2.03747232
Bahrain,1,2007,1.208237269
Bahrain,1,2008,1.320651752
Bahrain,1,2009,1.838231184
Bahrain,1,2010,1.719968507
Bahrain,1,2011,2.115707029
Bahrain,1,2012,2.694423815
Bahrain,1,2013,2.768730345
Bahrain,1,2014,2.535061289
Bahrain,1,2015,2.296141507
Bahrain,1,2016,2.378449651
Bahrain,1,2017,2.842690079
Belarus,1,1983,0.523920564
Belarus,1,1984,0.562082529
Belarus,1,1985,0.631875778
Belarus,1,1986,0.733518271
Belarus,1,1987,0.862818805
Belarus,1,1988,1.023277292
Belarus,1,1989,1.209094714
Belarus,1,1990,1.452116673
Belarus,1,1991,1.696927408
Belarus,1,1992,1.880950886
Belarus,1,1993,2.050379087
Belarus,1,1994,2.154873732
Belarus,1,1995,2.308991088
Belarus,1,1996,2.473145517
Belarus,1,1997,2.707917554
Belarus,1,1998,2.940275529
Belarus,1,1999,3.142736219
Belarus,1,2000,3.322983184
Belarus,1,2001,3.426497297
Belarus,1,2002,3.493973902
Belarus,1,2003,3.518049451
Belarus,1,2004,3.537619143
Belarus,1,2005,3.539403789
Belarus,1,2006,3.515379491
Belarus,1,2007,3.480410966
Belarus,1,2008,3.39652539
Belarus,1,2009,3.323095282
Belarus,1,2010,3.300917133
Belarus,1,2011,3.331426456
Belarus,1,2012,3.46769594
Belarus,1,2013,3.665688945
Belarus,1,2014,3.919111441
Belarus,1,2015,4.234068449
Belarus,1,2016,4.611883663
Belarus,1,2017,5.051485155
Canada,1,1980,1.535256873
Canada,1,1981,1.553178021
Canada,1,1982,1.57624939
Canada,1,1983,1.605356132
Canada,1,1984,1.638803517
Canada,1,1985,1.679142795
Canada,1,1986,1.725866338
Canada,1,1987,1.771443594
Canada,1,1988,1.807747299
Canada,1,1989,1.84605382
Canada,1,1990,1.893922651
Canada,1,1991,1.945949836
Canada,1,1992,2.004265106
Canada,1,1993,2.068826962
Canada,1,1994,2.137760523
Canada,1,1995,2.191392278
Canada,1,1996,2.261481331
Canada,1,1997,2.374695914
Canada,1,1998,2.506915271
Canada,1,1999,2.666122621
Canada,1,2000,2.848309849
Canada,1,2001,3.035835059
Canada,1,2002,3.211551333
Canada,1,2003,3.402932083
Canada,1,2004,3.629194641
Canada,1,2005,3.871364591
Canada,1,2006,4.121442899
Canada,1,2007,4.378135159
Canada,1,2008,4.656749195
Canada,1,2009,4.996664538
Canada,1,2010,5.36889707
Canada,1,2011,5.687805623
Canada,1,2012,5.96163611
Canada,1,2013,6.178797122
Canada,1,2014,6.308663204
Canada,1,2015,6.372902476
Canada,1,2016,6.349678488
Canada,1,2017,6.249369452
Chile,1,1998,1.012192397
Chile,1,1999,1.781416629
Chile,1,2000,2.08776864
Chile,1,2001,1.927001613
Chile,1,2002,1.311393317
Chile,1,2003,1.26900902
Chile,1,2004,1.612973873
Chile,1,2005,1.702657474
Chile,1,2006,1.559012549
Chile,1,2007,1.164830033
Chile,1,2008,0.905585886
Chile,1,2009,1.036707957
Chile,1,2010,1.568518587
Chile,1,2011,2.010961983
Chile,1,2012,2.282450271
Chile,1,2013,2.424843132
Chile,1,2014,2.692735314
Chile,1,2015,3.251816596
Chile,1,2016,3.691807903
Chile,1,2017,4.030962392
China,1,2003,1.216525031
China,1,2004,1.555696555
China,1,2005,1.806473795
China,1,2006,1.931546679
China,1,2007,2.005106803
China,1,2008,2.433510615
China,1,2009,3.009050964
China,1,2010,3.907540291
China,1,2011,5.045936781
China,1,2012,6.730147801
China,1,2013,9.21643855
China,1,2014,11.7802943
China,1,2015,13.31644309
China,1,2016,14.30149097
China,1,2017,14.91297948
Colombia,1,2003,2.010057103
Colombia,1,2004,2.506630381
Colombia,1,2005,2.898264703
Colombia,1,2006,2.826591277
Colombia,1,2007,2.862141912
Colombia,1,2008,3.019221706
Colombia,1,2009,2.949600417
Colombia,1,2010,2.506347016
Colombia,1,2011,2.952353471
Colombia,1,2012,3.543209633
Colombia,1,2013,4.419645849
Colombia,1,2014,4.345055056
Colombia,1,2015,4.597679962
Colombia,1,2016,4.938570712
Colombia,1,2017,5.223371157
Costa Rica,1,1982,1.612552232
Costa Rica,1,1983,1.397134739
Costa Rica,1,1984,1.244188514
Costa Rica,1,1985,1.145807467
Costa Rica,1,1986,1.087524371
Costa Rica,1,1987,1.110762176
Costa Rica,1,1988,1.163680007
Costa Rica,1,1989,1.172217013
Costa Rica,1,1990,1.169273512
Costa Rica,1,1991,1.09685727
Costa Rica,1,1992,1.022209994
Costa Rica,1,1993,0.971335731
Costa Rica,1,1994,1.030718302
Costa Rica,1,1995,1.121722801
Costa Rica,1,1996,1.227083058
Costa Rica,1,1997,1.337140858
Costa Rica,1,1998,1.418075872
Costa Rica,1,1999,1.502065024
Costa Rica,1,2000,1.588846742
Costa Rica,1,2001,1.671963038
Costa Rica,1,2002,1.72713192
Costa Rica,1,2003,1.795593501
Costa Rica,1,2004,1.892351638
Costa Rica,1,2005,2.055545378
Costa Rica,1,2006,2.239932878
Costa Rica,1,2007,2.451191891
Costa Rica,1,2008,2.67435742
Costa Rica,1,2009,2.90727705
Costa Rica,1,2010,3.145992009
Costa Rica,1,2011,3.367278652
Costa Rica,1,2012,3.56927133
Costa Rica,1,2013,3.737104342
Costa Rica,1,2014,3.885893919
Costa Rica,1,2015,4.017981191
Costa Rica,1,2016,4.131346043
Croatia,1,1988,1.208282786
Croatia,1,1989,1.135427397
Croatia,1,1990,1.112569656
Croatia,1,1991,1.129854576
Croatia,1,1992,1.201811077
Croatia,1,1993,1.30632039
Croatia,1,1994,1.395965166
Croatia,1,1995,1.503789309
Croatia,1,1996,1.670451161
Croatia,1,1997,1.85183147
Croatia,1,1998,2.049539024
Croatia,1,1999,2.224879326
Croatia,1,2000,2.30329954
Croatia,1,2001,2.374173277
Croatia,1,2002,2.427249485
Croatia,1,2003,2.530004257
Croatia,1,2004,2.651272782
Croatia,1,2005,2.834562075
Croatia,1,2006,3.035838375
Croatia,1,2007,3.177875412
Croatia,1,2008,3.317588556
Croatia,1,2009,3.506550521
Croatia,1,2010,3.729583483
Croatia,1,2011,3.964943018
Croatia,1,2012,4.221946144
Croatia,1,2013,4.538603838
Croatia,1,2014,4.861699423
Croatia,1,2015,5.159230224
Croatia,1,2016,5.452975921
Croatia,1,2017,5.729168895
Cyprus,1,1998,2.80944978
Cyprus,1,1999,2.621840337
Cyprus,1,2000,2.690455319
Cyprus,1,2001,3.069295095
Cyprus,1,2002,3.654002358
Cyprus,1,2003,3.930525656
Cyprus,1,2004,4.082912997
Cyprus,1,2005,4.096438139
Cyprus,1,2006,3.898186842
Cyprus,1,2007,4.539704204
Cyprus,1,2008,5.900590617
Cyprus,1,2009,7.541000989
Cyprus,1,2010,8.578833417
Cyprus,1,2011,8.64477828
Cyprus,1,2012,8.387272076
