country,sex,year,ASMRsmooth
Argentina,1,1997,0.240925523
Argentina,1,1998,0.262526692
Argentina,1,1999,0.278089506
Argentina,1,2000,0.288293109
Argentina,1,2001,0.290853946
Argentina,1,2002,0.288541698
Argentina,1,2003,0.282421629
Argentina,1,2004,0.2826583
Argentina,1,2005,0.284123468
Argentina,1,2006,0.291062507
Argentina,1,2007,0.281054006
Argentina,1,2008,0.268293342
Argentina,1,2009,0.255704674
Argentina,1,2010,0.248093831
Argentina,1,2011,0.244742352
Argentina,1,2012,0.247647265
Argentina,1,2013,0.260965693
Argentina,1,2014,0.278912338
Argentina,1,2015,0.304374635
Argentina,1,2016,0.327798774
Argentina,1,2017,0.343280079
Argentina,1,2018,0.336229829
Argentina,1,2019,0.324596103
Argentina,1,2020,0.304830398
Argentina,1,2021,0.278578839
Australia,1,1980,0.220629507
Australia,1,1981,0.22898948
Australia,1,1982,0.236105178
Australia,1,1983,0.241609757
Australia,1,1984,0.246144175
Australia,1,1985,0.250562553
Australia,1,1986,0.254937658
Australia,1,1987,0.258985727
Australia,1,1988,0.263026088
Australia,1,1989,0.275009719
Australia,1,1990,0.284656338
Australia,1,1991,0.27859948
Australia,1,1992,0.266901585
Australia,1,1993,0.257678462
Australia,1,1994,0.244774436
Australia,1,1995,0.232483824
Australia,1,1996,0.233610441
Australia,1,1997,0.240659015
Australia,1,1998,0.246971712
Australia,1,1999,0.254260377
Australia,1,2000,0.261547112
Australia,1,2001,0.262911794
Australia,1,2002,0.261512631
Australia,1,2003,0.26027466
Australia,1,2004,0.259086715
Australia,1,2006,0.254043163
Australia,1,2007,0.252431449
Australia,1,2008,0.250847244
Australia,1,2009,0.249124582
Australia,1,2010,0.249566231
Australia,1,2011,0.254619838
Australia,1,2012,0.261706931
Australia,1,2013,0.27251548
Australia,1,2014,0.286587248
Australia,1,2015,0.295466502
Australia,1,2016,0.296164041
Australia,1,2017,0.294205397
Australia,1,2018,0.291129278
Australia,1,2019,0.285650521
