country;year;asir;type
Denmark;1980;70.62023598;0
Denmark;1981;70.42807564;0
Denmark;1982;70.51912357;0
Denmark;1983;70.88819487;0
Denmark;1984;71.46778903;0
Denmark;1985;72.40264766;0
Denmark;1986;73.48927148;0
Denmark;1987;74.72915536;0
Denmark;1988;75.94278536;0
Denmark;1989;76.84666943;0
Denmark;1990;76.38420386;0
Denmark;1991;75.56386579;0
Denmark;1992;73.79468039;0
Denmark;1993;72.55660386;0
Denmark;1994;72.14309125;0
Denmark;1995;74.03972693;0
Denmark;1996;77.14678222;0
Denmark;1997;81.95341787;0
Denmark;1998;87.98178344;0
Denmark;1999;93.89889477;0
Denmark;2000;101.3574394;0
Denmark;2001;110.9195298;0
Denmark;2002;123.423046;0
Denmark;2003;137.5476934;0
Denmark;2004;156.0389475;0
Denmark;2005;174.6098568;0
Denmark;2006;191.424452;0
Denmark;2007;205.4456183;0
Denmark;2008;211.2788271;0
Denmark;2009;213.6993204;0
Denmark;2010;211.5936547;0
Denmark;2011;209.1966979;0
Denmark;2012;205.6759078;0
Denmark;2013;202.0640825;0
Denmark;2014;197.6409499;0
Denmark;2015;193.1014811;0
Denmark;2016;188.0733002;0
Sweden;1980;108.5992135;0
Sweden;1981;110.4912013;0
Sweden;1982;112.6945836;0
Sweden;1983;115.198201;0
Sweden;1984;117.8737162;0
Sweden;1985;120.8759088;0
Sweden;1986;123.9644812;0
Sweden;1987;126.6950706;0
Sweden;1988;129.1966835;0
Sweden;1989;131.8816718;0
Sweden;1990;134.8974933;0
Sweden;1991;138.0359454;0
Sweden;1992;141.4863645;0
Sweden;1993;144.6663469;0
Sweden;1994;148.8373265;0
Sweden;1995;154.2927651;0
Sweden;1996;161.1603732;0
Sweden;1997;170.8126037;0
Sweden;1998;181.9242426;0
Sweden;1999;195.3086937;0
Sweden;2000;210.1572858;0
Sweden;2001;228.2943484;0
Sweden;2002;244.8644716;0
Sweden;2003;258.9338775;0
Sweden;2004;266.0764375;0
Sweden;2005;270.7136959;0
Sweden;2006;271.4492427;0
Sweden;2007;269.7340808;0
Sweden;2008;264.9332127;0
Sweden;2009;259.7066079;0
Sweden;2010;258.9932144;0
Sweden;2011;259.5981858;0
Sweden;2012;260.4518108;0
Sweden;2013;260.4798755;0
Sweden;2014;260.5950094;0
Sweden;2015;260.8067951;0
Sweden;2016;261.1374597;0
Norway;1980;100.5300155;0
Norway;1981;101.4840224;0
Norway;1982;102.3341945;0
Norway;1983;103.110311;0
Norway;1984;103.9533871;0
Norway;1985;104.4957478;0
Norway;1986;105.2163933;0
Norway;1987;105.8280709;0
Norway;1988;108.3542089;0
Norway;1989;111.9290891;0
Norway;1990;117.5191221;0
Norway;1991;123.8589261;0
Norway;1992;130.0362791;0
Norway;1993;136.3001276;0
Norway;1994;143.4232066;0
Norway;1995;152.9920305;0
Norway;1996;162.9106752;0
Norway;1997;173.3542785;0
Norway;1998;183.1082436;0
Norway;1999;188.4781112;0
Norway;2000;193.7923218;0
Norway;2001;199.0799763;0
Norway;2002;206.0756947;0
Norway;2003;214.2488244;0
Norway;2004;229.2816978;0
Norway;2005;244.6599611;0
Norway;2006;256.081228;0
Norway;2007;265.8236542;0
Norway;2008;271.1717995;0
Norway;2009;274.5550287;0
Norway;2010;277.034732;0
Norway;2011;277.8985302;0
Norway;2012;277.5153143;0
Norway;2013;276.31528;0
Norway;2014;273.9337482;0
Norway;2015;270.4057278;
Norway;2016;265.6953555;
Ireland;1994;104.4187135;
Ireland;1995;107.2610571;
Ireland;1996;111.5861233;
Ireland;1997;116.9203034;
Ireland;1998;126.4185592;
Ireland;1999;142.5223137;
Ireland;2000;162.5644185;
Ireland;2001;185.1744665;
Ireland;2002;196.9270241;
Ireland;2003;220.1631012;
Ireland;2004;239.7540023;
Ireland;2005;239.8265767;
Ireland;2006;233.9656254;
Ireland;2007;243.267491;
Ireland;2008;252.8505763;
Ireland;2009;261.8679991;
Ireland;2010;278.8715955;
Ireland;2011;285.7793052;
Ireland;2012;285.1385408;
UK..England.and.Wales.;1980;50.79124727;
UK..England.and.Wales.;1981;52.01137697;
UK..England.and.Wales.;1982;53.30893641;
UK..England.and.Wales.;1983;54.66376095;
UK..England.and.Wales.;1984;56.10587015;
UK..England.and.Wales.;1985;57.58012859;
UK..England.and.Wales.;1986;59.09069463;
UK..England.and.Wales.;1987;60.7852912;
UK..England.and.Wales.;1988;61.98952536;
UK..England.and.Wales.;1989;63.75203219;
UK..England.and.Wales.;1990;67.37761583;
UK..England.and.Wales.;1991;72.02163144;
UK..England.and.Wales.;1992;77.19217055;
UK..England.and.Wales.;1993;83.64188394;
UK..England.and.Wales.;1994;90.2361494;
UK..England.and.Wales.;1995;94.87443842;
UK..England.and.Wales.;1996;99.78905693;
UK..England.and.Wales.;1997;105.4767536;
UK..England.and.Wales.;1998;111.7955488;
UK..England.and.Wales.;1999;120.7186977;
UK..England.and.Wales.;2000;131.1144261;
UK..England.and.Wales.;2001;140.543531;
UK..England.and.Wales.;2002;149.3832379;
UK..England.and.Wales.;2003;157.1528991;
UK..England.and.Wales.;2004;161.5293853;
UK..England.and.Wales.;2005;164.0738109;
UK..England.and.Wales.;2006;166.8865286;
UK..England.and.Wales.;2007;170.3271776;
UK..England.and.Wales.;2008;173.6209855;
UK..England.and.Wales.;2009;177.4017364;
UK..England.and.Wales.;2010;181.3367994;
UK..England.and.Wales.;2011;184.3752883;
UK..England.and.Wales.;2012;186.35982;
UK..England.and.Wales.;2013;187.6026041;
UK..England.and.Wales.;2014;188.0197743;
UK..England.and.Wales.;2015;187.6666065;
UK..England.and.Wales.;2016;186.4676895;
UK..England.and.Wales.;2017;184.4648077;
UK..Northern.Ireland.;1993;90.92409979;
UK..Northern.Ireland.;1994;89.52188638;
UK..Northern.Ireland.;1995;88.1559259;
UK..Northern.Ireland.;1996;86.83174579;
UK..Northern.Ireland.;1997;85.62542999;
UK..Northern.Ireland.;1998;89.94982376;
UK..Northern.Ireland.;1999;97.61839679;
UK..Northern.Ireland.;2000;105.0065898;
UK..Northern.Ireland.;2001;115.8070476;
UK..Northern.Ireland.;2002;130.4845691;
UK..Northern.Ireland.;2003;145.253327;
UK..Northern.Ireland.;2004;154.7719628;
UK..Northern.Ireland.;2005;159.5534262;
UK..Northern.Ireland.;2006;166.0859462;
UK..Northern.Ireland.;2007;178.7356095;
UK..Northern.Ireland.;2008;186.7212443;
