country;year;asir;type
Denmark;1980;36.52526144;1
Denmark;1981;36.78885044;1
Denmark;1982;37.06364815;1
Denmark;1983;37.3349603;1
Denmark;1984;37.62861211;1
Denmark;1985;37.91721361;1
Denmark;1986;38.18508487;1
Denmark;1987;38.49844013;1
Denmark;1988;38.81979866;1
Denmark;1989;39.28273088;1
Denmark;1990;40.21498102;1
Denmark;1991;41.39267778;1
Denmark;1992;42.31118889;1
Denmark;1993;43.0023907;1
Denmark;1994;43.45587725;1
Denmark;1995;43.1908941;1
Denmark;1996;42.51604984;1
Denmark;1997;42.04733327;1
Denmark;1998;42.06704322;1
Denmark;1999;42.11899453;1
Denmark;2000;42.1763085;1
Denmark;2001;42.30342808;1
Denmark;2002;42.14559862;1
Denmark;2003;41.43093918;1
Denmark;2004;40.52582861;1
Denmark;2005;39.59601249;1
Denmark;2006;38.55823978;1
Denmark;2007;37.64165047;1
Denmark;2008;37.09958568;1
Denmark;2009;36.48475043;1
Denmark;2010;35.39438936;1
Denmark;2011;34.12004666;1
Denmark;2012;32.88135753;1
Denmark;2013;31.64106271;1
Denmark;2014;30.44459593;1
Denmark;2015;29.37903069;1
Denmark;2016;28.3887858;1
Denmark;2017;27.54901801;1
Denmark;2018;26.82182655;1
Sweden;1980;39.26016573;1
Sweden;1981;38.81799604;1
Sweden;1982;38.61194494;1
Sweden;1983;38.6648166;1
Sweden;1984;38.92382112;1
Sweden;1985;39.5139212;1
Sweden;1986;40.41475693;1
Sweden;1987;41.32336442;1
Sweden;1988;42.19650224;1
Sweden;1989;43.00089383;1
Sweden;1990;43.64812588;1
Sweden;1991;44.22202724;1
Sweden;1992;44.69294451;1
Sweden;1993;45.04527073;1
Sweden;1994;45.26981765;1
Sweden;1995;45.41166475;1
Sweden;1996;45.45817946;1
Sweden;1997;45.30276834;1
Sweden;1998;44.75793753;1
Sweden;1999;44.11926766;1
Sweden;2000;43.63000835;1
Sweden;2001;43.10652203;1
Sweden;2002;42.52649621;1
Sweden;2003;42.05575115;1
Sweden;2004;41.45499484;1
Sweden;2005;40.40035231;1
Sweden;2006;39.09743662;1
Sweden;2007;37.71049891;1
Sweden;2008;36.0819433;1
Sweden;2009;34.4459539;1
Sweden;2010;33.13586053;1
Sweden;2011;31.92717532;1
Sweden;2012;30.73509298;1
Sweden;2013;29.5546251;1
Sweden;2014;28.3922238;1
